Date,Description,Category,Amount (AUD),GST,Payment Method,Transaction ID,Notes
08/07/2025,Windsurf,software,25.21,2.29,CARD_ON_FILE,7a830293-d97e-490f-88b1-743648118d8f,"Essential for work, AI powered code editor"
18/06/2025,Midjourney,software,17.04,,ECOMMERCE,ed3e124d-1f3f-4d79-b5e1-c9f006ede589,"Business related expense to generate assets (images, video)"
13/06/2025,Superbuy,technology,97.26,8.84,ECOMMERCE,6453a21b-8f8e-4406-b92c-c91251757a51,Shipping cost for new keyboard
11/06/2025,"SP UNIKEYS, TORONTO",technology,75.12,6.83,CARD_ON_FILE,82fb0a4f-9528-4b0a-a8a8-dd91081dcd3d,Parts for keyboard
11/06/2025,Superbuy,technology,45.42,4.13,ECOMMERCE,383cfae3-a517-4345-8f74-4e764a90cc69,parts for keyboard
10/06/2025,Superbuy,technology,389.45,35.4,ECOMMERCE,406be4fa-c09f-4b1c-82f9-f0dcb8a8e979,keyboard base kit
09/06/2025,Windsurf,games-and-software,25.47,2.32,CARD_ON_FILE,2ee6b5bf-a35f-4c4f-8346-38f174643e18,"Essential for work, AI powered code editor"
08/05/2025,Windsurf,games-and-software,25.64,2.33,ECOMMERCE,00eccaa0-2401-4c63-b004-4fa26f0d44ec,"Essential for work, AI powered code editor"
15/03/2025,deskmat.io,technology,76.59,,ECOMMERCE,2ad63e95-5c02-4841-8613-8b6f102bc447,mouse mat for work and business day to day
06/03/2025,Replicate,software,1.62,,ECOMMERCE,61ecd02d-babb-4a89-b134-7784bf5ba247,"Business related expense to generate assets (images, video)"
04/09/2024,Porkbun,domain name hosting,1.64,,CARD_ON_FILE,992fdcb2-83b3-4205-8ea0-5401e7d015a2,domain name hosting for business
31/08/2024,Contabo,server hosting,12.04,1.09,ECOMMERCE,c352e036-e374-4342-99b4-26ed7b6328a1,server hosting for hosting work/business related services
15/08/2024,Porkbun,domain name hosting,19.54,1.78,CARD_ON_FILE,3a69f996-72d4-43b4-bc9c-6aaea68db99f,domain name hosting for business
